,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malibu Village,297957.0,290954.0,332339.0,358959.0,356522.0,443574.0,499641.0,594111.0,605969.0,232500.0
Amandelrug,873545.0,694045.0,551823.0,796712.0,1279212.0,888093.0,1108531.0,910066.0,1441823.0,1577500.0
Claremont Upper,2321060.0,2406758.0,2246711.0,2569752.0,3039921.0,3397559.0,3511907.0,3719503.0,3466950.0,2508500.0
Mandalay,392314.0,436378.0,444509.0,411410.0,405461.0,542977.0,429512.0,455002.0,688972.0,723000.0
Grabouw Central,2182000.0,729285.0,553857.0,504000.0,771642.0,707666.0,921777.0,808030.0,724000.0,1200000.0
All Extensions,,,,,,,,,,
Country Club,789413.0,823491.0,755526.0,986650.0,955690.0,1055948.0,1372457.0,1516815.0,1457073.0,1169423.0
Heritage Mews,1296174.0,1377185.0,1212834.0,1509207.0,1649380.0,2006682.0,2056079.0,1885526.0,2205951.0,2839473.0
Parkersdorp,742500.0,1263333.0,913333.0,1322500.0,1195000.0,1531840.0,1126666.0,1932500.0,1350000.0,
Uniondale,177400.0,288470.0,267687.0,323205.0,290611.0,194995.0,535753.0,504697.0,172588.0,328500.0
George Central,530790.0,690724.0,897461.0,753544.0,836629.0,1051226.0,861597.0,454674.0,785917.0,1314166.0
Doringbaai,286250.0,32000.0,621000.0,25933.0,439000.0,156666.0,285000.0,235700.0,105000.0,
Nuwerus,230000.0,203750.0,10000.0,25000.0,9500.0,28500.0,115333.0,90000.0,390000.0,
Saldanha Harbour,,,,,,,,,,
Goodwood Park,785350.0,857705.0,905423.0,977894.0,979996.0,1232571.0,1544093.0,1662972.0,1497111.0,1938000.0
Northshore,1982508.0,1825000.0,2066416.0,2390913.0,2709545.0,2765413.0,3853461.0,3302708.0,3012761.0,4700000.0
De Zoete Inval,833312.0,1048846.0,993730.0,755657.0,906136.0,1034729.0,1683500.0,1169147.0,864000.0,1075500.0
Boggomsbaai,1165000.0,700000.0,1045714.0,1816864.0,1086600.0,1536363.0,1090000.0,1113457.0,746428.0,665000.0
Beacon Hill,195486.0,234642.0,247200.0,315833.0,328315.0,339947.0,430687.0,411131.0,463470.0,440000.0
Brenton On Sea,1778125.0,1215900.0,2299210.0,1691666.0,1803980.0,1924229.0,1889148.0,1179428.0,2232500.0,2230000.0
